['ABATI', 3.1572682296173893]
['ABATE', 3.121653522439333]
['ABTIE', 3.119910023274066]
['ABACE', 3.068030335864211]
['ABALE', 3.0068665431825226]
['ABILA', 2.867492461184755]
['ABATU', 2.838456377350588]
['ABATA', 2.720175521464345]
['ABTIU', 2.6981203125901447]
['ABILE', 2.6625056054120884]
['ABACA', 2.6174924611847556]
['ABAUA', 2.617492461184755]
['ABTIN', 2.5833333333333335]
['ABTII', 2.519815716998773]
['ABRAC', 2.5016291673878226]
['ABOLI', 2.499389675512395]
['ABONA', 2.3494839817876882]
['ABDIC', 2.18563712882641]
['ABILI', 2.1638909867280645]
['ABCES', 2.0491040074712537]
['ABRAS', 2.0121039189772216]
['ABNEG', 1.7969371097526867]
['ABROG', 1.523009654835499]
['ABJUR', 1.408222675578688]
